"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6RCF2","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6RCF2","0.0","0.0","0.434","0.0","0.0",,"0.0","0.49","0.136"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6DAI0","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6DAI0","0.11","0.0","0.281","0.0","0.0",,"0.151","0.494","0.18"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6LS11","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6LS11","0.11","0.0","0.281","0.0","0.0",,"0.151","0.494","0.18"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6C0C2","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6C0C2","0.0","0.0","0.433","0.0","0.0",,"0.0","0.496","0.149"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6IW38","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6IW38","0.0","0.0","0.447","0.0","0.0",,"0.0","0.501","0.136"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6MLJ6","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6MLJ6","0.0","0.0","0.364","0.226","0.0",,"0.0","0.506","0.078"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6SDZ6","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6SDZ6","0.052","0.0","0.473","0.0","0.0",,"0.0","0.507","0.093"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6AVP0","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6AVP0","0.052","0.0","0.473","0.0","0.0",,"0.0","0.507","0.093"
"pp","4565.A0A077RP15 (pp) 4565.W5C5L5","false","pp","4565.A0A077RP15 (pp) 4565.W5C5L5","0.189","0.0","0.304","0.0","0.0",,"0.0","0.513","0.207"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6SFG1","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6SFG1","0.189","0.0","0.304","0.0","0.0",,"0.0","0.513","0.207"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B5ZTV6","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B5ZTV6","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6EPU7","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6EPU7","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QHA7","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QHA7","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6JRI8","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6JRI8","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6TDT1","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6TDT1","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6KKJ7","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6KKJ7","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6DNN9","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6DNN9","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6N0G9","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6N0G9","0.182","0.0","0.43","0.0","0.0",,"0.0","0.517","0.049"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QMP0","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QMP0","0.0","0.0","0.459","0.0","0.0",,"0.0","0.518","0.147"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6KE76","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6KE76","0.0","0.0","0.468","0.0","0.0",,"0.0","0.527","0.149"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6C279","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6C279","0.127","0.0","0.43","0.108","0.0",,"0.0","0.541","0.089"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6GM79","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6GM79","0.115","0.0","0.516","0.0","0.0",,"0.0","0.553","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6H0N6","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6H0N6","0.108","0.0","0.468","0.0","0.0",,"0.0","0.554","0.136"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6EPQ6","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6EPQ6","0.0","0.0","0.554","0.0","0.0",,"0.0","0.561","0.058"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QD30","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QD30","0.0","0.0","0.515","0.0","0.0",,"0.0","0.569","0.149"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6SNW5","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6SNW5","0.0","0.0","0.516","0.0","0.0",,"0.149","0.57","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QM15","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QM15","0.0","0.0","0.494","0.0","0.0",,"0.154","0.572","0.081"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B5XZZ9","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B5XZZ9","0.127","0.0","0.43","0.108","0.0",,"0.0","0.586","0.179"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B5ZMQ7","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B5ZMQ7","0.0","0.0","0.0","0.597","0.0",,"0.0","0.61","0.072"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6B5W2","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6B5W2","0.0","0.0","0.501","0.0","0.0",,"0.154","0.63","0.195"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6ASE9","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6ASE9","0.06","0.0","0.516","0.0","0.0",,"0.144","0.652","0.213"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6RP45","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6RP45","0.066","0.0","0.674","0.0","0.0",,"0.0","0.682","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6MQ30","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6MQ30","0.066","0.0","0.674","0.0","0.0",,"0.0","0.682","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6QH83","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6QH83","0.066","0.0","0.674","0.0","0.0",,"0.0","0.682","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6CEC5","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6CEC5","0.066","0.0","0.674","0.0","0.0",,"0.0","0.682","0.0"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6MK61","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6MK61","0.342","0.0","0.491","0.0","0.0",,"0.153","0.736","0.181"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6EEE0","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6EEE0","0.0","0.0","0.646","0.197","0.0",,"0.0","0.752","0.2"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6MQW0","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6MQW0","0.0","0.0","0.747","0.0","0.0",,"0.0","0.773","0.14"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6NM73","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6NM73","0.0","0.0","0.747","0.0","0.0",,"0.0","0.775","0.149"
"pp","4565.A0A077RP15 (pp) 4565.P09195","false","pp","4565.A0A077RP15 (pp) 4565.P09195","0.045","0.0","0.71","0.0","0.0",,"0.0","0.781","0.273"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6TW84","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6TW84","0.066","0.0","0.748","0.0","0.0",,"0.0","0.784","0.158"
"pp","4565.A0A077RP15 (pp) 4565.A0A096UND4","false","pp","4565.A0A077RP15 (pp) 4565.A0A096UND4","0.119","0.0","0.741","0.0","0.0",,"0.0","0.785","0.136"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6IXB3","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6IXB3","0.119","0.0","0.741","0.0","0.0",,"0.0","0.785","0.136"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6MZI6","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6MZI6","0.616","0.0","0.287","0.0","0.0",,"0.155","0.788","0.194"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6JEI7","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6JEI7","0.616","0.0","0.287","0.0","0.0",,"0.155","0.788","0.194"
"pp","4565.A0A077RP15 (pp) 4565.B2LXU4","false","pp","4565.A0A077RP15 (pp) 4565.B2LXU4","0.339","0.0","0.505","0.144","0.0",,"0.152","0.794","0.268"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6CCY3","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6CCY3","0.0","0.0","0.745","0.0","0.0",,"0.144","0.796","0.141"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6JCB4","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6JCB4","0.0","0.0","0.793","0.0","0.0",,"0.0","0.799","0.069"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6KDC1","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6KDC1","0.064","0.0","0.749","0.138","0.0",,"0.0","0.816","0.202"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B5Y7Y1","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B5Y7Y1","0.098","0.0","0.747","0.0","0.0",,"0.152","0.82","0.181"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6PQN7","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6PQN7","0.0","0.0","0.752","0.0","0.0",,"0.167","0.828","0.238"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6IMN5","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6IMN5","0.065","0.0","0.752","0.0","0.0",,"0.168","0.833","0.238"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B5ZN99","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B5ZN99","0.1","0.0","0.749","0.0","0.0",,"0.155","0.849","0.306"
"pp","4565.A0A077RP15 (pp) 4565.A0A3B6B3H8","false","pp","4565.A0A077RP15 (pp) 4565.A0A3B6B3H8","0.06","0.0","0.561","0.631","0.0",,"0.0","0.85","0.136"
"pp","4565.A0A077RP15 (pp) 4565.A4PBN5","false","pp","4565.A0A077RP15 (pp) 4565.A4PBN5","0.06","0.0","0.561","0.631","0.0",,"0.0","0.85","0.136"
