"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SRV4","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SRV4","0.0","0.0","0.638","0.153","0.0",,"0.0","0.735","0.208"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6C1W0","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6C1W0","0.0","0.0","0.627","0.207","0.0",,"0.0","0.736","0.18"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SH32","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SH32","0.0","0.0","0.641","0.167","0.0",,"0.0","0.739","0.199"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6GZN6","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6GZN6","0.0","0.0","0.687","0.0","0.0",,"0.0","0.746","0.223"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6DK43","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6DK43","0.0","0.0","0.0","0.699","0.0",,"0.0","0.748","0.199"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LJY5","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LJY5","0.0","0.0","0.0","0.699","0.0",,"0.0","0.748","0.199"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B5ZZM1","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B5ZZM1","0.0","0.0","0.0","0.699","0.0",,"0.0","0.748","0.199"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6CCW6","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6CCW6","0.0","0.0","0.0","0.699","0.0",,"0.0","0.748","0.199"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6INN5","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6INN5","0.0","0.0","0.0","0.698","0.0",,"0.0","0.755","0.223"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LJ20","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LJ20","0.0","0.0","0.0","0.698","0.0",,"0.0","0.755","0.223"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6EET9","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6EET9","0.0","0.0","0.687","0.141","0.0",,"0.0","0.768","0.207"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6IRQ2","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6IRQ2","0.182","0.0","0.667","0.0","0.0",,"0.0","0.769","0.221"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6IRA5","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6IRA5","0.182","0.0","0.667","0.0","0.0",,"0.0","0.769","0.221"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B5ZUI2","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B5ZUI2","0.152","0.0","0.0","0.76","0.0",,"0.0","0.787","0.0"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6JHT1","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6JHT1","0.0","0.0","0.0","0.745","0.0",,"0.0","0.787","0.201"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LIF3","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LIF3","0.0","0.0","0.0","0.745","0.0",,"0.0","0.787","0.201"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LJV2","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LJV2","0.0","0.0","0.0","0.714","0.0",,"0.0","0.789","0.294"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6FJ32","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6FJ32","0.0","0.0","0.0","0.748","0.0",,"0.0","0.794","0.218"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SG85","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SG85","0.0","0.0","0.0","0.748","0.0",,"0.0","0.794","0.218"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B5ZR02","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B5ZR02","0.0","0.0","0.0","0.734","0.0",,"0.0","0.798","0.272"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LK70","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LK70","0.0","0.0","0.0","0.734","0.0",,"0.0","0.798","0.272"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6GTN8","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6GTN8","0.0","0.0","0.0","0.734","0.0",,"0.0","0.798","0.272"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6N1G2","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6N1G2","0.0","0.0","0.686","0.146","0.0",,"0.0","0.806","0.336"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LDG7","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6LDG7","0.0","0.0","0.0","0.763","0.0",,"0.0","0.807","0.221"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6PQA1","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6PQA1","0.0","0.0","0.186","0.752","0.0",,"0.0","0.823","0.197"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6PHZ8","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6PHZ8","0.0","0.0","0.689","0.167","0.0",,"0.0","0.827","0.386"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SBV3","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SBV3","0.0","0.0","0.689","0.167","0.0",,"0.0","0.827","0.386"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6HWB6","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6HWB6","0.0","0.0","0.686","0.317","0.0",,"0.0","0.835","0.294"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6FN19","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6FN19","0.0","0.0","0.686","0.317","0.0",,"0.0","0.835","0.294"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SF57","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SF57","0.0","0.0","0.677","0.552","0.0",,"0.0","0.851","0.056"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6NNC9","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6NNC9","0.099","0.0","0.686","0.72","0.0",,"0.0","0.913","0.0"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6CF90","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6CF90","0.189","0.0","0.687","0.752","0.0",,"0.0","0.931","0.047"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SI53","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SI53","0.189","0.0","0.687","0.752","0.0",,"0.0","0.931","0.047"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6C0M6","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6C0M6","0.0","0.0","0.691","0.809","0.0",,"0.0","0.938","0.0"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6AYU2","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6AYU2","0.0","0.0","0.7","0.795","0.0",,"0.0","0.954","0.317"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SM01","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6SM01","0.0","0.0","0.692","0.84","0.0",,"0.0","0.954","0.149"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6GKR8","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6GKR8","0.0","0.0","0.689","0.841","0.0",,"0.0","0.967","0.4"
"pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6HQZ3","false","pp","4565.A0A3B5Z5P9 (pp) 4565.A0A3B6HQZ3","0.0","0.0","0.692","0.892","0.0",,"0.0","0.974","0.302"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B5ZVV3","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B5ZVV3","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LJI9","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6LJI9","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6KCD9","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6KCD9","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SFA9","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SFA9","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SLA0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6SLA0","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6REC0","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6REC0","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
"pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6C658","false","pp","4565.A0A3B5Z5U9 (pp) 4565.A0A3B6C658","0.122","0.0","0.189","0.143","0.0",,"0.0","0.402","0.136"
